Wall time,Step,Value
1730961164.1366801,40000,0.0
1730961528.872349,80000,0.05000000074505806
1730961887.795802,120000,0.12999999523162842
1730962235.3388608,160000,0.8299999833106995
1730962585.2369344,200000,0.7799999713897705
1730962932.216,240000,0.9300000071525574
1730963275.9938111,280000,0.9100000262260437
1730963626.1024935,320000,0.9599999785423279
1730963969.3316312,360000,0.9599999785423279
1730964353.0392368,400000,0.3799999952316284
1730964710.0647829,440000,0.9800000190734863
1730965065.9869602,480000,0.9900000095367432
1730965432.7425032,520000,0.949999988079071
1730965787.4277518,560000,0.9599999785423279
1730966111.088222,600000,0.9599999785423279
1730966464.8217869,640000,0.3199999928474426
1730966792.8319585,680000,0.9700000286102295
1730967117.5753736,720000,0.9399999976158142
1730967444.4960558,760000,0.8799999952316284
1730967770.4586525,800000,0.9599999785423279
