Wall time,Step,Value
1730961563.009508,40000,0.1899999976158142
1730961900.640552,80000,0.07000000029802322
1730962232.8069904,120000,0.6100000143051147
1730962553.461095,160000,0.7400000095367432
1730962875.7004082,200000,0.7900000214576721
1730963204.4481134,240000,0.7200000286102295
1730963529.2565324,280000,0.9100000262260437
1730963845.9130142,320000,0.949999988079071
1730964172.1054196,360000,0.9599999785423279
1730964498.4762,400000,0.9700000286102295
1730964833.6138058,440000,0.8999999761581421
1730965165.9880586,480000,0.9399999976158142
1730965494.7635176,520000,0.9599999785423279
1730965830.4718819,560000,0.7900000214576721
1730966155.7010422,600000,0.9900000095367432
1730966484.1278174,640000,0.9200000166893005
1730966810.1767454,680000,0.9800000190734863
1730967135.166125,720000,0.949999988079071
1730967464.3175192,760000,0.9599999785423279
1730967791.6988957,800000,0.9599999785423279
