"global_step","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX","Grouped runs - rollout/success_rate","Grouped runs - rollout/success_rate__MIN","Grouped runs - rollout/success_rate__MAX"
"4000","0","0","0","0.1875","0","0.375"
"8000","1","1","1","0.1875","0.0625","0.3125"
"12000","2","2","2","0.1874999962747097","0.0833333358168602","0.2916666567325592"
"16000","3","3","3","0.1875","0.0625","0.3125"
"20000","4","4","4","0.18749999441206455","0.05000000074505806","0.32499998807907104"
"24000","5","5","5","0.19791666232049465","0.0416666679084301","0.3541666567325592"
"28000","6","6","6","0.22321428172290325","0.0535714291036129","0.3928571343421936"
"32000","7","7","7","0.2421875","0.078125","0.40625"
"36000","8","8","8","0.2430555522441864","0.0694444477558136","0.4166666567325592"
"40000","9","9","9","0.2750000022351742","0.08749999850988388","0.4625000059604645"
"44000","10","10","10","0.3125","0.125","0.5"
"48000","11","11","11","0.3385416641831398","0.1458333283662796","0.53125"
"52000","12","12","12","0.38999999314546585","0.20000000298023224","0.5799999833106995"
"56000","13","13","13","0.4100000038743019","0.20000000298023224","0.6200000047683716"
"60000","14","14","14","0.4450000077486038","0.2199999988079071","0.6700000166893005"
"64000","15","15","15","0.48499999940395355","0.27000001072883606","0.699999988079071"
"68000","16","16","16","0.5450000017881393","0.33000001311302185","0.7599999904632568"
"72000","17","17","17","0.5850000083446503","0.3700000047683716","0.800000011920929"
"76000","18","18","18","0.6249999850988388","0.41999998688697815","0.8299999833106995"
"80000","19","19","19","0.6650000065565109","0.4699999988079071","0.8600000143051147"
"84000","20","20","20","0.7049999833106995","0.5199999809265137","0.8899999856948853"
"88000","21","21","21","0.7349999845027924","0.5699999928474426","0.8999999761581421"
"92000","22","22","22","0.7600000202655792","0.6100000143051147","0.9100000262260437"
"96000","23","23","23","0.7750000059604645","0.6299999952316284","0.9200000166893005"
"100000","24","24","24","0.7599999904632568","0.6399999856948853","0.8799999952316284"
"104000","25","25","25","0.7600000202655792","0.6700000166893005","0.8500000238418579"
"108000","26","26","26","0.7800000011920929","0.7099999785423279","0.8500000238418579"
