"global_step","Grouped runs - _step","Grouped runs - _step__MIN","Grouped runs - _step__MAX","Grouped runs - rollout/success_rate","Grouped runs - rollout/success_rate__MIN","Grouped runs - rollout/success_rate__MAX"
"332000","82","82","82","0.6266666650772095","0.5099999904632568","0.8500000238418579"
"336000","83","83","83","0.6233333150545756","0.5099999904632568","0.8399999737739563"
"340000","84","84","84","0.6133333146572113","0.4699999988079071","0.8399999737739563"
"344000","85","85","85","0.6199999849001566","0.49000000953674316","0.8399999737739563"
"348000","86","86","86","0.6100000043710073","0.4699999988079071","0.8500000238418579"
"352000","87","87","87","0.5999999940395355","0.4699999988079071","0.8399999737739563"
"356000","88","88","88","0.5999999940395355","0.46000000834465027","0.8399999737739563"
"360000","89","89","89","0.6266666650772095","0.5","0.8500000238418579"
"364000","90","90","90","0.6233333349227905","0.49000000953674316","0.8600000143051147"
"368000","91","91","91","0.6433333158493042","0.5199999809265137","0.8799999952316284"
"372000","92","92","92","0.6433333158493042","0.5199999809265137","0.8799999952316284"
"376000","93","93","93","0.6599999864896139","0.5099999904632568","0.8799999952316284"
"380000","94","94","94","0.6633333365122477","0.5099999904632568","0.8700000047683716"
"384000","95","95","95","0.6633333365122477","0.5199999809265137","0.8500000238418579"
"388000","96","96","96","0.6666666666666666","0.5099999904632568","0.8600000143051147"
"392000","97","97","97","0.6666666666666666","0.550000011920929","0.8399999737739563"
"396000","98","98","98","0.6733333269755045","0.5600000023841858","0.8199999928474426"
"400000","99","99","99","0.6799999872843424","0.5699999928474426","0.8299999833106995"
"404000","100","100","100","0.6866666674613953","0.5699999928474426","0.8500000238418579"
"408000","101","101","101","0.699999988079071","0.5799999833106995","0.8700000047683716"
"412000","102","102","102","0.700000007947286","0.5699999928474426","0.8700000047683716"
"416000","103","103","103","0.700000007947286","0.5799999833106995","0.8600000143051147"
"420000","104","104","104","0.7066666682561239","0.5799999833106995","0.8600000143051147"
"424000","105","105","105","0.7066666682561239","0.6200000047683716","0.8600000143051147"
"428000","106","106","106","0.703333338101705","0.6200000047683716","0.8500000238418579"
"432000","107","107","107","0.7133333285649618","0.6200000047683716","0.8799999952316284"
"436000","108","108","108","0.7266666690508524","0.6299999952316284","0.8899999856948853"
"440000","109","109","109","0.7233333388964335","0.6200000047683716","0.8899999856948853"
"444000","110","110","110","0.7400000095367432","0.6399999856948853","0.9100000262260437"
"448000","111","111","111","0.7566666801770529","0.6600000262260437","0.9200000166893005"
"452000","112","112","112","0.746666669845581","0.6499999761581421","0.9300000071525574"
"456000","113","113","113","0.75","0.6499999761581421","0.9300000071525574"
"460000","114","114","114","0.746666669845581","0.6399999856948853","0.9200000166893005"
"464000","115","115","115","0.750000019868215","0.6600000262260437","0.9200000166893005"
"468000","116","116","116","0.7600000103314718","0.6700000166893005","0.9200000166893005"
"472000","117","117","117","0.7666666706403097","0.6800000071525574","0.9100000262260437"
"476000","118","118","118","0.7733333508173624","0.6700000166893005","0.9200000166893005"
"480000","119","119","119","0.7766666611035665","0.6499999761581421","0.9300000071525574"
"484000","120","120","120","0.7666666706403097","0.6499999761581421","0.9300000071525574"
"488000","121","121","121","0.7666666706403097","0.6299999952316284","0.9300000071525574"
"492000","122","122","122","0.746666689713796","0.6000000238418579","0.9200000166893005"
"496000","123","123","123","0.7433333396911621","0.5899999737739563","0.9200000166893005"
"500000","124","124","124","0.750000019868215","0.6100000143051147","0.9200000166893005"
"504000","125","125","125","0.7433333396911621","0.5899999737739563","0.9200000166893005"
"508000","126","126","126","0.75","0.5799999833106995","0.9300000071525574"
"512000","127","127","127","0.7633333206176758","0.5699999928474426","0.949999988079071"
"516000","128","128","128","0.7699999809265137","0.5799999833106995","0.949999988079071"
"520000","129","129","129","0.7666666507720947","0.5699999928474426","0.9599999785423279"
"524000","130","130","130","0.7733333309491476","0.6000000238418579","0.949999988079071"
"528000","131","131","131","0.7666666706403097","0.6000000238418579","0.9399999976158142"
"532000","132","132","132","0.7766666809717814","0.6000000238418579","0.9399999976158142"
"536000","133","133","133","0.799999992052714","0.6200000047683716","0.949999988079071"
"540000","134","134","134","0.7833333412806193","0.6200000047683716","0.9200000166893005"
"544000","135","135","135","0.8066666722297668","0.6800000071525574","0.9200000166893005"
"548000","136","136","136","0.8033333420753479","0.6800000071525574","0.9200000166893005"
"552000","137","137","137","0.8166666626930237","0.7099999785423279","0.9200000166893005"
"556000","138","138","138","0.8099999825159708","0.7099999785423279","0.8999999761581421"
"560000","139","139","139","0.8166666626930237","0.7699999809265137","0.8700000047683716"
"564000","140","140","140","0.796666661898295","0.7599999904632568","0.8700000047683716"
"568000","141","141","141","0.7833333214124044","0.75","0.8399999737739563"
"572000","142","142","142","0.7666666905085245","0.7200000286102295","0.8500000238418579"
"576000","143","143","143","0.7700000206629435","0.7200000286102295","0.8600000143051147"
"580000","144","144","144","0.7700000206629435","0.7200000286102295","0.8600000143051147"
"584000","145","145","145","0.753333330154419","0.6899999976158142","0.8600000143051147"
"588000","146","146","146","0.7633333206176758","0.699999988079071","0.8799999952316284"
"592000","147","147","147","0.7666666706403097","0.6700000166893005","0.8999999761581421"
"596000","148","148","148","0.749999980131785","0.6499999761581421","0.8999999761581421"
"600000","149","149","149","0.75","0.6399999856948853","0.8799999952316284"
"604000","150","150","150","0.7566666801770529","0.6399999856948853","0.9100000262260437"
"608000","151","151","151","0.7633333404858907","0.6399999856948853","0.9200000166893005"
"612000","152","152","152","0.7666666706403097","0.6399999856948853","0.9200000166893005"
"616000","153","153","153","0.7900000015894572","0.6700000166893005","0.9300000071525574"
"620000","154","154","154","0.799999992052714","0.6800000071525574","0.9399999976158142"
"624000","155","155","155","0.8066666722297668","0.699999988079071","0.9100000262260437"
"628000","156","156","156","0.8233333428700765","0.7300000190734863","0.9100000262260437"
"632000","157","157","157","0.8233333428700765","0.7400000095367432","0.9100000262260437"
"636000","158","158","158","0.8366666634877523","0.7599999904632568","0.8999999761581421"
"640000","159","159","159","0.8366666436195374","0.7699999809265137","0.8999999761581421"
"644000","160","160","160","0.8399999936421713","0.7900000214576721","0.8999999761581421"
"648000","161","161","161","0.8466666539510092","0.8199999928474426","0.8899999856948853"
"652000","162","162","162","0.8366666634877523","0.800000011920929","0.8899999856948853"
"656000","163","163","163","0.8333333333333334","0.800000011920929","0.8700000047683716"
"660000","164","164","164","0.8266666730244955","0.7900000214576721","0.8600000143051147"
"664000","165","165","165","0.8266666730244955","0.800000011920929","0.8600000143051147"
"668000","166","166","166","0.8233333230018616","0.7699999809265137","0.8799999952316284"
"672000","167","167","167","0.8266666531562805","0.7699999809265137","0.8799999952316284"
"676000","168","168","168","0.8166666626930237","0.75","0.8999999761581421"
"680000","169","169","169","0.8266666531562805","0.7599999904632568","0.8999999761581421"
"684000","170","170","170","0.8266666531562805","0.7799999713897705","0.8799999952316284"
"688000","171","171","171","0.8266666531562805","0.7799999713897705","0.8799999952316284"
"692000","172","172","172","0.8300000031789144","0.800000011920929","0.8799999952316284"
"696000","173","173","173","0.8266666531562805","0.7799999713897705","0.8999999761581421"
"700000","174","174","174","0.8233333230018616","0.7400000095367432","0.8899999856948853"
"704000","175","175","175","0.8333333333333334","0.7400000095367432","0.8899999856948853"
"708000","176","176","176","0.8233333230018616","0.7099999785423279","0.8799999952316284"
"712000","177","177","177","0.8266666531562805","0.7099999785423279","0.8899999856948853"
"716000","178","178","178","0.8199999928474426","0.699999988079071","0.8799999952316284"
"720000","179","179","179","0.8233333428700765","0.6899999976158142","0.9100000262260437"
"724000","180","180","180","0.8266666730244955","0.7099999785423279","0.9200000166893005"
"728000","181","181","181","0.8266666730244955","0.7200000286102295","0.9200000166893005"
"732000","182","182","182","0.8166666626930237","0.6899999976158142","0.9300000071525574"
"736000","183","183","183","0.79666668176651","0.6600000262260437","0.9200000166893005"
"740000","184","184","184","0.7933333516120911","0.6600000262260437","0.9200000166893005"
"744000","185","185","185","0.800000011920929","0.6700000166893005","0.9399999976158142"
"748000","186","186","186","0.8033333420753479","0.6700000166893005","0.9399999976158142"
"752000","187","187","187","0.8133333325386047","0.7099999785423279","0.9399999976158142"
"756000","188","188","188","0.8133333325386047","0.699999988079071","0.9300000071525574"
"760000","189","189","189","0.8199999928474426","0.699999988079071","0.9399999976158142"
"764000","190","190","190","0.8266666531562805","0.7099999785423279","0.9399999976158142"
"768000","191","191","191","0.8233333230018616","0.699999988079071","0.9599999785423279"
"772000","192","192","192","0.8366666833559672","0.7200000286102295","0.9700000286102295"
"776000","193","193","193","0.8399999936421713","0.7099999785423279","0.9700000286102295"
"780000","194","194","194","0.846666673819224","0.7400000095367432","0.949999988079071"
"784000","195","195","195","0.8566666642824808","0.7400000095367432","0.949999988079071"
"788000","196","196","196","0.8666666547457377","0.75","0.949999988079071"
"792000","197","197","197","0.8633333444595337","0.7400000095367432","0.9399999976158142"
"796000","198","198","198","0.8666666746139526","0.7400000095367432","0.949999988079071"
"800000","199","199","199","0.8533333341280619","0.75","0.9399999976158142"
"804000","200","200","200","0.8566666642824808","0.75","0.9399999976158142"
"808000","201","201","201","0.8599999944368998","0.7599999904632568","0.9399999976158142"
"812000","202","202","202","0.8433333436648051","0.7300000190734863","0.9300000071525574"
"816000","203","203","203","0.8566666841506958","0.7400000095367432","0.9200000166893005"
"820000","204","204","204","0.846666673819224","0.7400000095367432","0.9100000262260437"
"824000","205","205","205","0.8433333436648051","0.7300000190734863","0.9100000262260437"
"828000","206","206","206","0.8366666634877523","0.7200000286102295","0.8999999761581421"
"832000","207","207","207","0.8166666626930237","0.6899999976158142","0.8899999856948853"
"836000","208","208","208","0.8199999928474426","0.7099999785423279","0.8799999952316284"
"840000","209","209","209","0.8166666626930237","0.7099999785423279","0.8700000047683716"
"844000","210","210","210","0.8200000127156576","0.7300000190734863","0.8700000047683716"
"848000","211","211","211","0.8200000127156576","0.7200000286102295","0.8899999856948853"
"852000","212","212","212","0.8266666730244955","0.7200000286102295","0.8999999761581421"
"856000","213","213","213","0.8199999928474426","0.6899999976158142","0.8999999761581421"
"860000","214","214","214","0.8266666730244955","0.7200000286102295","0.8899999856948853"
"864000","215","215","215","0.8366666634877523","0.7400000095367432","0.8899999856948853"
"868000","216","216","216","0.8399999936421713","0.7400000095367432","0.8899999856948853"
"872000","217","217","217","0.8499999841054281","0.7599999904632568","0.8999999761581421"
"876000","218","218","218","0.8533333341280619","0.7599999904632568","0.9100000262260437"
"880000","219","219","219","0.8599999944368998","0.7799999713897705","0.9300000071525574"
"884000","220","220","220","0.8566666642824808","0.7900000214576721","0.9399999976158142"
"888000","221","221","221","0.8666666547457377","0.8100000023841858","0.949999988079071"
"892000","222","222","222","0.8766666650772095","0.8199999928474426","0.9599999785423279"
"896000","223","223","223","0.8799999753634135","0.8399999737739563","0.9599999785423279"
"900000","224","224","224","0.8900000055631002","0.8500000238418579","0.949999988079071"
"904000","225","225","225","0.8933333357175192","0.8600000143051147","0.949999988079071"
"908000","226","226","226","0.9099999864896139","0.8799999952316284","0.949999988079071"
"912000","227","227","227","0.9099999864896139","0.8799999952316284","0.949999988079071"
"916000","228","228","228","0.9099999864896139","0.8799999952316284","0.949999988079071"
"920000","229","229","229","0.9066666563351949","0.8700000047683716","0.9599999785423279"
"924000","230","230","230","0.9166666467984518","0.8899999856948853","0.9599999785423279"
"928000","231","231","231","0.9166666666666666","0.8799999952316284","0.9599999785423279"
"932000","232","232","232","0.9233333269755045","0.8700000047683716","0.9599999785423279"
"936000","233","233","233","0.9199999968210856","0.8500000238418579","0.9599999785423279"
"940000","234","234","234","0.9133333166440328","0.8299999833106995","0.9599999785423279"
"944000","235","235","235","0.9133333166440328","0.8299999833106995","0.9599999785423279"
"948000","236","236","236","0.9233333269755045","0.8299999833106995","0.9800000190734863"
"952000","237","237","237","0.9166666666666666","0.8199999928474426","0.9700000286102295"
"956000","238","238","238","0.9066666563351949","0.8100000023841858","0.9599999785423279"
"960000","239","239","239","0.9099999864896139","0.8199999928474426","0.9599999785423279"
"964000","240","240","240","0.903333326180776","0.8299999833106995","0.9599999785423279"
"968000","241","241","241","0.9000000158945719","0.8199999928474426","0.9700000286102295"
"972000","242","242","242","0.9066666762034098","0.8299999833106995","0.9700000286102295"
"976000","243","243","243","0.9000000158945719","0.8199999928474426","0.9700000286102295"
"980000","244","244","244","0.9033333460489908","0.8199999928474426","0.9800000190734863"
"984000","245","245","245","0.9000000158945719","0.8100000023841858","0.9800000190734863"
"988000","246","246","246","0.899999996026357","0.8100000023841858","0.9900000095367432"
"992000","247","247","247","0.9066666762034098","0.8100000023841858","1"
"996000","248","248","248","0.9033333460489908","0.800000011920929","1"
"1000000","249","249","249","0.9100000063578287","0.8299999833106995","0.9900000095367432"
