"Step","Value","1pnp - success_rate__MIN","1pnp - success_rate__MAX"
"40000","0.026785714285714284","0.026785714285714284","0.026785714285714284"
"80000","0.044642857142857144","0.044642857142857144","0.044642857142857144"
"120000","0.03571428571428571","0.03571428571428571","0.03571428571428571"
"160000","0.026785714285714284","0.026785714285714284","0.026785714285714284"
"200000","0.008928571428571428","0.008928571428571428","0.008928571428571428"
"240000","0.026785714285714284","0.026785714285714284","0.026785714285714284"
"280000","0.017857142857142856","0.017857142857142856","0.017857142857142856"
"320000","0.026785714285714284","0.026785714285714284","0.026785714285714284"
"360000","0.05357142857142857","0.05357142857142857","0.05357142857142857"
"400000","0.017857142857142856","0.017857142857142856","0.017857142857142856"
"440000","0.044642857142857144","0.044642857142857144","0.044642857142857144"
"480000","0.03571428571428571","0.03571428571428571","0.03571428571428571"
"520000","0.09821428571428571","0.09821428571428571","0.09821428571428571"
"560000","0.026785714285714284","0.026785714285714284","0.026785714285714284"
"600000","0.044642857142857144","0.044642857142857144","0.044642857142857144"
"640000","0.05357142857142857","0.05357142857142857","0.05357142857142857"
"680000","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"720000","0.07142857142857142","0.07142857142857142","0.07142857142857142"
"760000","0.1875","0.1875","0.1875"
"800000","0.08928571428571429","0.08928571428571429","0.08928571428571429"
"840000","0.125","0.125","0.125"
"880000","0.10714285714285714","0.10714285714285714","0.10714285714285714"
"920000","0.10714285714285714","0.10714285714285714","0.10714285714285714"
"960000","0.16964285714285715","0.16964285714285715","0.16964285714285715"
"1000000","0.20535714285714285","0.20535714285714285","0.20535714285714285"
"1040000","0.20535714285714285","0.20535714285714285","0.20535714285714285"
"1080000","0.23214285714285715","0.23214285714285715","0.23214285714285715"
"1120000","0.25","0.25","0.25"
"1160000","0.20535714285714285","0.20535714285714285","0.20535714285714285"
"1200000","0.24107142857142858","0.24107142857142858","0.24107142857142858"
"1240000","0.30357142857142855","0.30357142857142855","0.30357142857142855"
"1280000","0.26785714285714285","0.26785714285714285","0.26785714285714285"
"1320000","0.4107142857142857","0.4107142857142857","0.4107142857142857"
"1360000","0.32142857142857145","0.32142857142857145","0.32142857142857145"
"1400000","0.5446428571428571","0.5446428571428571","0.5446428571428571"
"1440000","0.4017857142857143","0.4017857142857143","0.4017857142857143"
"1480000","0.44642857142857145","0.44642857142857145","0.44642857142857145"
"1520000","0.5","0.5","0.5"
"1560000","0.4732142857142857","0.4732142857142857","0.4732142857142857"
"1600000","0.5714285714285714","0.5714285714285714","0.5714285714285714"
"1640000","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"1680000","0.5178571428571429","0.5178571428571429","0.5178571428571429"
"1720000","0.5535714285714286","0.5535714285714286","0.5535714285714286"
"1760000","0.5446428571428571","0.5446428571428571","0.5446428571428571"
"1800000","0.4642857142857143","0.4642857142857143","0.4642857142857143"
"1840000","0.49107142857142855","0.49107142857142855","0.49107142857142855"
"1880000","0.44642857142857145","0.44642857142857145","0.44642857142857145"
"1920000","0.45535714285714285","0.45535714285714285","0.45535714285714285"
"1960000","0.5267857142857143","0.5267857142857143","0.5267857142857143"
"2000000","0.5","0.5","0.5"
"2040000","0.5089285714285714","0.5089285714285714","0.5089285714285714"
"2080000","0.5089285714285714","0.5089285714285714","0.5089285714285714"
"2120000","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"2160000","0.5535714285714286","0.5535714285714286","0.5535714285714286"
"2200000","0.5625","0.5625","0.5625"
"2240000","0.6160714285714286","0.6160714285714286","0.6160714285714286"
"2280000","0.6071428571428571","0.6071428571428571","0.6071428571428571"
"2320000","0.5625","0.5625","0.5625"
"2360000","0.5803571428571429","0.5803571428571429","0.5803571428571429"
"2400000","0.5178571428571429","0.5178571428571429","0.5178571428571429"
"2440000","0.5892857142857143","0.5892857142857143","0.5892857142857143"
"2480000","0.6517857142857143","0.6517857142857143","0.6517857142857143"
"2520000","0.49107142857142855","0.49107142857142855","0.49107142857142855"
"2560000","0.6964285714285714","0.6964285714285714","0.6964285714285714"
"2600000","0.5267857142857143","0.5267857142857143","0.5267857142857143"
"2640000","0.6785714285714286","0.6785714285714286","0.6785714285714286"
"2680000","0.625","0.625","0.625"
"2720000","0.5892857142857143","0.5892857142857143","0.5892857142857143"
"2760000","0.6607142857142857","0.6607142857142857","0.6607142857142857"
"2800000","0.6964285714285714","0.6964285714285714","0.6964285714285714"
"2840000","0.6339285714285714","0.6339285714285714","0.6339285714285714"
"2880000","0.7053571428571429","0.7053571428571429","0.7053571428571429"
"2920000","0.6875","0.6875","0.6875"
"2960000","0.6696428571428571","0.6696428571428571","0.6696428571428571"
"3000000","0.75","0.75","0.75"
"3040000","0.6875","0.6875","0.6875"
"3080000","0.6428571428571429","0.6428571428571429","0.6428571428571429"
"3120000","0.75","0.75","0.75"
"3160000","0.7321428571428571","0.7321428571428571","0.7321428571428571"
"3200000","0.75","0.75","0.75"
"3240000","0.6696428571428571","0.6696428571428571","0.6696428571428571"
"3280000","0.6875","0.6875","0.6875"
"3320000","0.7767857142857143","0.7767857142857143","0.7767857142857143"
"3360000","0.7410714285714286","0.7410714285714286","0.7410714285714286"
"3400000","0.7857142857142857","0.7857142857142857","0.7857142857142857"
"3440000","0.7321428571428571","0.7321428571428571","0.7321428571428571"
"3480000","0.7410714285714286","0.7410714285714286","0.7410714285714286"
"3520000","0.7589285714285714","0.7589285714285714","0.7589285714285714"
"3560000","0.7589285714285714","0.7589285714285714","0.7589285714285714"
"3600000","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"3640000","0.7410714285714286","0.7410714285714286","0.7410714285714286"
"3680000","0.8125","0.8125","0.8125"
"3720000","0.7678571428571429","0.7678571428571429","0.7678571428571429"
"3760000","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"3800000","0.8392857142857143","0.8392857142857143","0.8392857142857143"
"3840000","0.7142857142857143","0.7142857142857143","0.7142857142857143"
"3880000","0.7053571428571429","0.7053571428571429","0.7053571428571429"
"3920000","0.8214285714285714","0.8214285714285714","0.8214285714285714"
"3960000","0.8928571428571429","0.8928571428571429","0.8928571428571429"
"4000000","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"4040000","0.9107142857142857","0.9107142857142857","0.9107142857142857"
"4080000","0.8839285714285714","0.8839285714285714","0.8839285714285714"
"4120000","0.8839285714285714","0.8839285714285714","0.8839285714285714"
"4160000","0.8035714285714286","0.8035714285714286","0.8035714285714286"
"4200000","0.8571428571428571","0.8571428571428571","0.8571428571428571"
"4240000","0.8928571428571429","0.8928571428571429","0.8928571428571429"
