"Step","Value","1pnp-1 - success_rate__MIN","1pnp-1 - success_rate__MAX"
"40000","0.03571428571428571","0.03571428571428571","0.03571428571428571"
"80000","0.026785714285714284","0.026785714285714284","0.026785714285714284"
"120000","0.017857142857142856","0.017857142857142856","0.017857142857142856"
"160000","0.05357142857142857","0.05357142857142857","0.05357142857142857"
"200000","0.026785714285714284","0.026785714285714284","0.026785714285714284"
"240000","0.05357142857142857","0.05357142857142857","0.05357142857142857"
"280000","0","0","0"
"320000","0.026785714285714284","0.026785714285714284","0.026785714285714284"
"360000","0.044642857142857144","0.044642857142857144","0.044642857142857144"
"400000","0.044642857142857144","0.044642857142857144","0.044642857142857144"
"440000","0.017857142857142856","0.017857142857142856","0.017857142857142856"
"480000","0.044642857142857144","0.044642857142857144","0.044642857142857144"
"520000","0.044642857142857144","0.044642857142857144","0.044642857142857144"
"560000","0.026785714285714284","0.026785714285714284","0.026785714285714284"
"600000","0.0625","0.0625","0.0625"
"640000","0.05357142857142857","0.05357142857142857","0.05357142857142857"
"680000","0.044642857142857144","0.044642857142857144","0.044642857142857144"
"720000","0.0625","0.0625","0.0625"
"760000","0.07142857142857142","0.07142857142857142","0.07142857142857142"
"800000","0.125","0.125","0.125"
"840000","0.08928571428571429","0.08928571428571429","0.08928571428571429"
"880000","0.19642857142857142","0.19642857142857142","0.19642857142857142"
"920000","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"960000","0.1875","0.1875","0.1875"
"1000000","0.16071428571428573","0.16071428571428573","0.16071428571428573"
"1040000","0.15178571428571427","0.15178571428571427","0.15178571428571427"
"1080000","0.15178571428571427","0.15178571428571427","0.15178571428571427"
"1120000","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"1160000","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"1200000","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"1240000","0.30357142857142855","0.30357142857142855","0.30357142857142855"
"1280000","0.375","0.375","0.375"
"1320000","0.3482142857142857","0.3482142857142857","0.3482142857142857"
"1360000","0.45535714285714285","0.45535714285714285","0.45535714285714285"
"1400000","0.4642857142857143","0.4642857142857143","0.4642857142857143"
"1440000","0.5089285714285714","0.5089285714285714","0.5089285714285714"
"1480000","0.5","0.5","0.5"
"1520000","0.4017857142857143","0.4017857142857143","0.4017857142857143"
"1560000","0.44642857142857145","0.44642857142857145","0.44642857142857145"
"1600000","0.4375","0.4375","0.4375"
"1640000","0.49107142857142855","0.49107142857142855","0.49107142857142855"
"1680000","0.48214285714285715","0.48214285714285715","0.48214285714285715"
"1720000","0.5357142857142857","0.5357142857142857","0.5357142857142857"
"1760000","0.5178571428571429","0.5178571428571429","0.5178571428571429"
"1800000","0.5357142857142857","0.5357142857142857","0.5357142857142857"
"1840000","0.4732142857142857","0.4732142857142857","0.4732142857142857"
"1880000","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"1920000","0.5267857142857143","0.5267857142857143","0.5267857142857143"
"1960000","0.5803571428571429","0.5803571428571429","0.5803571428571429"
"2000000","0.38392857142857145","0.38392857142857145","0.38392857142857145"
"2040000","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"2080000","0.4642857142857143","0.4642857142857143","0.4642857142857143"
"2120000","0.5714285714285714","0.5714285714285714","0.5714285714285714"
"2160000","0.49107142857142855","0.49107142857142855","0.49107142857142855"
"2200000","0.45535714285714285","0.45535714285714285","0.45535714285714285"
"2240000","0.5357142857142857","0.5357142857142857","0.5357142857142857"
"2280000","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"2320000","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"2360000","0.5357142857142857","0.5357142857142857","0.5357142857142857"
"2400000","0.5446428571428571","0.5446428571428571","0.5446428571428571"
"2440000","0.49107142857142855","0.49107142857142855","0.49107142857142855"
"2480000","0.44642857142857145","0.44642857142857145","0.44642857142857145"
"2520000","0.44642857142857145","0.44642857142857145","0.44642857142857145"
"2560000","0.5446428571428571","0.5446428571428571","0.5446428571428571"
"2600000","0.5357142857142857","0.5357142857142857","0.5357142857142857"
"2640000","0.5178571428571429","0.5178571428571429","0.5178571428571429"
"2680000","0.5267857142857143","0.5267857142857143","0.5267857142857143"
"2720000","0.5178571428571429","0.5178571428571429","0.5178571428571429"
"2760000","0.5446428571428571","0.5446428571428571","0.5446428571428571"
"2800000","0.5535714285714286","0.5535714285714286","0.5535714285714286"
"2840000","0.5535714285714286","0.5535714285714286","0.5535714285714286"
"2880000","0.5446428571428571","0.5446428571428571","0.5446428571428571"
"2920000","0.5535714285714286","0.5535714285714286","0.5535714285714286"
"2960000","0.6071428571428571","0.6071428571428571","0.6071428571428571"
"3000000","0.5803571428571429","0.5803571428571429","0.5803571428571429"
"3040000","0.5267857142857143","0.5267857142857143","0.5267857142857143"
"3080000","0.5446428571428571","0.5446428571428571","0.5446428571428571"
"3120000","0.5","0.5","0.5"
"3160000","0.6071428571428571","0.6071428571428571","0.6071428571428571"
"3200000","0.6160714285714286","0.6160714285714286","0.6160714285714286"
"3240000","0.625","0.625","0.625"
"3280000","0.5535714285714286","0.5535714285714286","0.5535714285714286"
"3320000","0.5625","0.5625","0.5625"
"3360000","0.6071428571428571","0.6071428571428571","0.6071428571428571"
"3400000","0.6517857142857143","0.6517857142857143","0.6517857142857143"
"3440000","0.5357142857142857","0.5357142857142857","0.5357142857142857"
"3480000","0.6071428571428571","0.6071428571428571","0.6071428571428571"
"3520000","0.6875","0.6875","0.6875"
"3560000","0.6160714285714286","0.6160714285714286","0.6160714285714286"
"3600000","0.6071428571428571","0.6071428571428571","0.6071428571428571"
"3640000","0.5535714285714286","0.5535714285714286","0.5535714285714286"
"3680000","0.5625","0.5625","0.5625"
"3720000","0.6428571428571429","0.6428571428571429","0.6428571428571429"
"3760000","0.6875","0.6875","0.6875"
"3800000","0.7053571428571429","0.7053571428571429","0.7053571428571429"
"3840000","0.75","0.75","0.75"
"3880000","0.6428571428571429","0.6428571428571429","0.6428571428571429"
"3920000","0.6696428571428571","0.6696428571428571","0.6696428571428571"
"3960000","0.6696428571428571","0.6696428571428571","0.6696428571428571"
"4000000","0.7053571428571429","0.7053571428571429","0.7053571428571429"
"4040000","0.6428571428571429","0.6428571428571429","0.6428571428571429"
"4080000","0.7589285714285714","0.7589285714285714","0.7589285714285714"
"4120000","0.6875","0.6875","0.6875"
"4160000","0.6607142857142857","0.6607142857142857","0.6607142857142857"
"4200000","0.7857142857142857","0.7857142857142857","0.7857142857142857"
"4240000","0.7767857142857143","0.7767857142857143","0.7767857142857143"
"4280000","0.8214285714285714","0.8214285714285714","0.8214285714285714"
"4320000","0.8214285714285714","0.8214285714285714","0.8214285714285714"
