"Step","Value","AWAC-customBlock-f7901fd1 - eval_reward_0__MIN","AWAC-customBlock-f7901fd1 - eval_reward_0__MAX"
"854999","88","88","88"
"857999","94","94","94"
"860999","87","87","87"
"863999","88","88","88"
"866999","80","80","80"
"869999","83","83","83"
"872999","92","92","92"
"875999","94","94","94"
"878999","95","95","95"
"881999","96","96","96"
"884999","90","90","90"
"887999","92","92","92"
"890999","86","86","86"
"893999","89","89","89"
"896999","79","79","79"
"899999","81","81","81"
"902999","95","95","95"
"905999","85","85","85"
"908999","89","89","89"
"911999","88","88","88"
"914999","94","94","94"
"917999","90","90","90"
"920999","90","90","90"
"923999","89","89","89"
"926999","85","85","85"
"929999","94","94","94"
"932999","89","89","89"
"935999","87","87","87"
"938999","84","84","84"
"941999","92","92","92"
"944999","91","91","91"
"947999","93","93","93"
"950999","84","84","84"
"953999","91","91","91"
"956999","89","89","89"
"959999","92","92","92"
"962999","90","90","90"
"965999","91","91","91"
"968999","91","91","91"
"971999","87","87","87"
"974999","88","88","88"
"977999","92","92","92"
"980999","91","91","91"
"983999","92","92","92"
"986999","97","97","97"
"989999","94","94","94"
"992999","92","92","92"
"995999","93","93","93"
"998999","92","92","92"
"1001999","92","92","92"
"1004999","87","87","87"
"1007999","90","90","90"
"1010999","87","87","87"
"1013999","90","90","90"
"1016999","89","89","89"
"1019999","90","90","90"
