"Step","Value","AWAC-PickPlace4-seed0 - eval_reward__MIN","AWAC-PickPlace4-seed0 - eval_reward__MAX"
"857999","88","88","88"
"860999","86","86","86"
"863999","91","91","91"
"866999","83","83","83"
"869999","75","75","75"
"872999","90","90","90"
"875999","85","85","85"
"878999","86","86","86"
"881999","84","84","84"
"884999","91","91","91"
"887999","85","85","85"
"890999","84","84","84"
"893999","85","85","85"
"896999","87","87","87"
"899999","86","86","86"
"902999","87","87","87"
"905999","86","86","86"
"908999","86","86","86"
"911999","90","90","90"
"914999","91","91","91"
"917999","85","85","85"
"920999","90","90","90"
"923999","88","88","88"
"926999","79","79","79"
"929999","83","83","83"
"932999","85","85","85"
"935999","88","88","88"
"938999","84","84","84"
"941999","78","78","78"
"944999","85","85","85"
"947999","90","90","90"
"950999","90","90","90"
"953999","87","87","87"
"956999","86","86","86"
"959999","80","80","80"
"962999","80","80","80"
"965999","89","89","89"
"968999","83","83","83"
"971999","85","85","85"
"974999","86","86","86"
"977999","86","86","86"
"980999","81","81","81"
"983999","90","90","90"
"986999","83","83","83"
"989999","84","84","84"
"992999","89","89","89"
"995999","91","91","91"
"998999","89","89","89"
"1001999","87","87","87"
"1004999","88","88","88"
"1007999","89","89","89"
"1010999","88","88","88"
"1013999","90","90","90"
"1016999","85","85","85"
"1019999","84","84","84"
