"Step","Value","AWAC-PickPlace4-seed1 - eval_reward_0__MIN","AWAC-PickPlace4-seed1 - eval_reward_0__MAX"
"854999","79","79","79"
"857999","90","90","90"
"860999","87","87","87"
"863999","86","86","86"
"866999","85","85","85"
"869999","81","81","81"
"872999","84","84","84"
"875999","79","79","79"
"878999","83","83","83"
"881999","85","85","85"
"884999","85","85","85"
"887999","84","84","84"
"890999","80","80","80"
"893999","81","81","81"
"896999","81","81","81"
"899999","84","84","84"
"902999","79","79","79"
"905999","81","81","81"
"908999","85","85","85"
"911999","85","85","85"
"914999","79","79","79"
"917999","80","80","80"
"920999","86","86","86"
"923999","81","81","81"
"926999","81","81","81"
"929999","74","74","74"
"932999","83","83","83"
"935999","85","85","85"
"938999","88","88","88"
"941999","81","81","81"
"944999","85","85","85"
"947999","85","85","85"
"950999","89","89","89"
"953999","83","83","83"
"956999","82","82","82"
"959999","79","79","79"
"962999","83","83","83"
"965999","91","91","91"
"968999","77","77","77"
"971999","84","84","84"
"974999","82","82","82"
"977999","80","80","80"
"980999","0","0","0"
"983999","77","77","77"
"986999","84","84","84"
"989999","82","82","82"
"992999","77","77","77"
"995999","85","85","85"
"998999","86","86","86"
"1001999","87","87","87"
"1004999","84","84","84"
"1007999","83","83","83"
"1010999","81","81","81"
"1013999","88","88","88"
"1016999","81","81","81"
"1019999","59","59","59"
