"Step","Value","AWAC-PickPlace4-seed2 - eval_reward_0__MIN","AWAC-PickPlace4-seed2 - eval_reward_0__MAX"
"2999","9","9","9"
"5999","22","22","22"
"8999","57","57","57"
"11999","80","80","80"
"14999","78","78","78"
"17999","78","78","78"
"20999","73","73","73"
"23999","86","86","86"
"26999","78","78","78"
"29999","67","67","67"
"32999","80","80","80"
"35999","59","59","59"
"38999","79","79","79"
"41999","78","78","78"
"44999","75","75","75"
"47999","77","77","77"
"50999","75","75","75"
"53999","77","77","77"
"56999","75","75","75"
"59999","78","78","78"
"62999","78","78","78"
"65999","76","76","76"
"68999","80","80","80"
"71999","62","62","62"
"74999","66","66","66"
"77999","82","82","82"
"80999","81","81","81"
"83999","82","82","82"
"86999","80","80","80"
"89999","80","80","80"
"92999","83","83","83"
"95999","79","79","79"
"98999","75","75","75"
"101999","79","79","79"
"104999","79","79","79"
"107999","80","80","80"
"110999","79","79","79"
"113999","81","81","81"
"116999","74","74","74"
"119999","76","76","76"
"122999","77","77","77"
"125999","82","82","82"
"128999","80","80","80"
"131999","71","71","71"
"134999","78","78","78"
"137999","81","81","81"
"140999","79","79","79"
"143999","83","83","83"
"146999","81","81","81"
"149999","81","81","81"
"152999","85","85","85"
"155999","82","82","82"
"158999","84","84","84"
"161999","80","80","80"
"164999","87","87","87"
"167999","86","86","86"
"170999","82","82","82"
"173999","87","87","87"
"176999","81","81","81"
"179999","83","83","83"
"182999","80","80","80"
"185999","79","79","79"
"188999","84","84","84"
"191999","81","81","81"
"194999","86","86","86"
"197999","84","84","84"
"200999","81","81","81"
"203999","77","77","77"
"206999","83","83","83"
"209999","82","82","82"
"212999","77","77","77"
"215999","82","82","82"
"218999","82","82","82"
"221999","81","81","81"
"224999","87","87","87"
"227999","86","86","86"
"230999","90","90","90"
"233999","78","78","78"
"236999","82","82","82"
"239999","83","83","83"
"242999","81","81","81"
"245999","79","79","79"
"248999","82","82","82"
"251999","85","85","85"
"254999","90","90","90"
"257999","80","80","80"
"260999","74","74","74"
"263999","83","83","83"
"266999","89","89","89"
"269999","83","83","83"
"272999","88","88","88"
"275999","78","78","78"
"278999","83","83","83"
"281999","85","85","85"
"284999","86","86","86"
"287999","87","87","87"
"290999","84","84","84"
"293999","75","75","75"
"296999","87","87","87"
"299999","79","79","79"
"302999","84","84","84"
"305999","83","83","83"
"308999","79","79","79"
"311999","79","79","79"
"314999","86","86","86"
"317999","85","85","85"
"320999","79","79","79"
"323999","80","80","80"
"326999","80","80","80"
"329999","82","82","82"
"332999","88","88","88"
"335999","82","82","82"
"338999","84","84","84"
"341999","84","84","84"
"344999","83","83","83"
"347999","86","86","86"
"350999","87","87","87"
"353999","80","80","80"
"356999","89","89","89"
"359999","83","83","83"
"362999","87","87","87"
"365999","78","78","78"
"368999","88","88","88"
"371999","85","85","85"
"374999","82","82","82"
"377999","87","87","87"
"380999","85","85","85"
"383999","84","84","84"
"386999","86","86","86"
"389999","92","92","92"
"392999","81","81","81"
"395999","74","74","74"
"398999","80","80","80"
"401999","83","83","83"
"404999","82","82","82"
"407999","84","84","84"
"410999","84","84","84"
"413999","85","85","85"
"416999","85","85","85"
"419999","85","85","85"
