"Step","Value","AWAC-PickPlace4-seed2 - eval_reward_0__MIN","AWAC-PickPlace4-seed2 - eval_reward_0__MAX"
"422999","89","89","89"
"425999","87","87","87"
"428999","86","86","86"
"431999","86","86","86"
"434999","85","85","85"
"437999","90","90","90"
"440999","92","92","92"
"443999","87","87","87"
"446999","86","86","86"
"449999","85","85","85"
"452999","83","83","83"
"455999","87","87","87"
"458999","85","85","85"
"461999","89","89","89"
"464999","87","87","87"
"467999","72","72","72"
"470999","85","85","85"
"473999","83","83","83"
"476999","83","83","83"
"479999","84","84","84"
"482999","81","81","81"
"485999","89","89","89"
"488999","79","79","79"
"491999","76","76","76"
"494999","84","84","84"
"497999","90","90","90"
"500999","91","91","91"
"503999","84","84","84"
"506999","86","86","86"
"509999","77","77","77"
"512999","85","85","85"
"515999","93","93","93"
"518999","92","92","92"
"521999","91","91","91"
"524999","86","86","86"
"527999","84","84","84"
"530999","87","87","87"
"533999","88","88","88"
"536999","91","91","91"
"539999","86","86","86"
"542999","75","75","75"
"545999","87","87","87"
"548999","78","78","78"
"551999","84","84","84"
"554999","94","94","94"
"557999","85","85","85"
"560999","82","82","82"
"563999","92","92","92"
"566999","90","90","90"
"569999","79","79","79"
"572999","83","83","83"
"575999","86","86","86"
"578999","89","89","89"
"581999","88","88","88"
"584999","83","83","83"
"587999","85","85","85"
"590999","87","87","87"
"593999","87","87","87"
"596999","90","90","90"
"599999","78","78","78"
"602999","83","83","83"
"605999","90","90","90"
"608999","85","85","85"
"611999","89","89","89"
"614999","81","81","81"
"617999","87","87","87"
"620999","83","83","83"
"623999","82","82","82"
"626999","83","83","83"
"629999","88","88","88"
"632999","82","82","82"
"635999","82","82","82"
"638999","79","79","79"
"641999","90","90","90"
"644999","90","90","90"
"647999","87","87","87"
"650999","86","86","86"
"653999","85","85","85"
"656999","89","89","89"
"659999","84","84","84"
"662999","91","91","91"
"665999","85","85","85"
"668999","86","86","86"
"671999","81","81","81"
"674999","79","79","79"
"677999","87","87","87"
"680999","88","88","88"
"683999","84","84","84"
"686999","82","82","82"
"689999","85","85","85"
"692999","86","86","86"
"695999","82","82","82"
"698999","82","82","82"
"701999","85","85","85"
"704999","85","85","85"
"707999","86","86","86"
"710999","79","79","79"
"713999","89","89","89"
"716999","90","90","90"
"719999","90","90","90"
"722999","90","90","90"
"725999","78","78","78"
"728999","91","91","91"
"731999","42","42","42"
"734999","91","91","91"
"737999","89","89","89"
"740999","85","85","85"
"743999","88","88","88"
"746999","86","86","86"
"749999","83","83","83"
"752999","87","87","87"
"755999","86","86","86"
"758999","87","87","87"
"761999","86","86","86"
"764999","86","86","86"
"767999","90","90","90"
"770999","89","89","89"
"773999","86","86","86"
"776999","84","84","84"
"779999","85","85","85"
"782999","93","93","93"
"785999","83","83","83"
"788999","86","86","86"
"791999","83","83","83"
"794999","85","85","85"
"797999","85","85","85"
"800999","82","82","82"
"803999","80","80","80"
"806999","88","88","88"
"809999","87","87","87"
"812999","85","85","85"
"815999","81","81","81"
"818999","86","86","86"
"821999","84","84","84"
"824999","87","87","87"
"827999","87","87","87"
"830999","80","80","80"
"833999","82","82","82"
"836999","86","86","86"
"839999","91","91","91"
"842999","91","91","91"
"845999","89","89","89"
"848999","86","86","86"
"851999","87","87","87"
"854999","88","88","88"
"857999","90","90","90"
"860999","86","86","86"
"863999","92","92","92"
"866999","89","89","89"
"869999","91","91","91"
"872999","83","83","83"
"875999","86","86","86"
"878999","92","92","92"
"881999","83","83","83"
"884999","91","91","91"
"887999","84","84","84"
"890999","86","86","86"
"893999","88","88","88"
"896999","87","87","87"
"899999","90","90","90"
"902999","88","88","88"
"905999","92","92","92"
"908999","85","85","85"
"911999","85","85","85"
"914999","90","90","90"
"917999","84","84","84"
"920999","89","89","89"
"923999","84","84","84"
"926999","91","91","91"
"929999","86","86","86"
"932999","91","91","91"
"935999","88","88","88"
"938999","91","91","91"
"941999","89","89","89"
"944999","88","88","88"
"947999","85","85","85"
"950999","86","86","86"
"953999","85","85","85"
"956999","83","83","83"
"959999","84","84","84"
"962999","87","87","87"
"965999","84","84","84"
"968999","90","90","90"
"971999","83","83","83"
"974999","86","86","86"
"977999","85","85","85"
"980999","89","89","89"
"983999","81","81","81"
"986999","89","89","89"
"989999","85","85","85"
"992999","93","93","93"
"995999","87","87","87"
"998999","82","82","82"
"1001999","84","84","84"
"1004999","82","82","82"
"1007999","87","87","87"
"1010999","84","84","84"
"1013999","80","80","80"
"1016999","87","87","87"
"1019999","84","84","84"
