"Step","3p-4 - success_rate","3p-4 - success_rate__MIN","3p-4 - success_rate__MAX"
"120000","0","0","0"
"240000","0","0","0"
"360000","0","0","0"
"480000","0","0","0"
"600000","0","0","0"
"720000","0","0","0"
"840000","0","0","0"
"960000","0","0","0"
"1080000","0","0","0"
"1200000","0","0","0"
"1320000","0","0","0"
"1440000","0","0","0"
"1560000","0","0","0"
"1680000","0","0","0"
"1800000","0","0","0"
"1920000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"2040000","0","0","0"
"2160000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"2280000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"2400000","0","0","0"
"2520000","0","0","0"
"2640000","0","0","0"
"2760000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"2880000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"3000000","0.008928571827709675","0.008928571827709675","0.008928571827709675"
"3120000","0.02678571455180645","0.02678571455180645","0.02678571455180645"
"3240000","0.03999999910593033","0.03999999910593033","0.03999999910593033"
"3360000","0","0","0"
"3480000","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"3600000","0.05999999865889549","0.05999999865889549","0.05999999865889549"
"3720000","0.09000000357627869","0.09000000357627869","0.09000000357627869"
"3840000","0.12999999523162842","0.12999999523162842","0.12999999523162842"
"3960000","0.12999999523162842","0.12999999523162842","0.12999999523162842"
"4080000","0.05000000074505806","0.05000000074505806","0.05000000074505806"
"4200000","0.07000000029802322","0.07000000029802322","0.07000000029802322"
"4320000","0.17000000178813934","0.17000000178813934","0.17000000178813934"
"4440000","0.2199999988079071","0.2199999988079071","0.2199999988079071"
"4560000","0.23999999463558197","0.23999999463558197","0.23999999463558197"
"4680000","0.2199999988079071","0.2199999988079071","0.2199999988079071"
"4800000","0.23999999463558197","0.23999999463558197","0.23999999463558197"
"4920000","0.33000001311302185","0.33000001311302185","0.33000001311302185"
"5040000","0.3799999952316284","0.3799999952316284","0.3799999952316284"
"5160000","0.4000000059604645","0.4000000059604645","0.4000000059604645"
"5280000","0.6200000047683716","0.6200000047683716","0.6200000047683716"
"5400000","0.4399999976158142","0.4399999976158142","0.4399999976158142"
"5520000","0.5199999809265137","0.5199999809265137","0.5199999809265137"
"5640000","0.7099999785423279","0.7099999785423279","0.7099999785423279"
"5760000","0.5","0.5","0.5"
"5880000","0.6899999976158142","0.6899999976158142","0.6899999976158142"
"6000000","0.7799999713897705","0.7799999713897705","0.7799999713897705"
"6120000","0.5899999737739563","0.5899999737739563","0.5899999737739563"
"6240000","0.6700000166893005","0.6700000166893005","0.6700000166893005"
"6360000","0.7099999785423279","0.7099999785423279","0.7099999785423279"
"6480000","0.6800000071525574","0.6800000071525574","0.6800000071525574"
"6600000","0.7400000095367432","0.7400000095367432","0.7400000095367432"
"6720000","0.7699999809265137","0.7699999809265137","0.7699999809265137"
"6840000","0.8600000143051147","0.8600000143051147","0.8600000143051147"
"6960000","0.8500000238418579","0.8500000238418579","0.8500000238418579"
"7080000","0.8199999928474426","0.8199999928474426","0.8199999928474426"
"7200000","0.8899999856948853","0.8899999856948853","0.8899999856948853"
"7320000","0.8899999856948853","0.8899999856948853","0.8899999856948853"
"7440000","0.9100000262260437","0.9100000262260437","0.9100000262260437"
"7560000","0.8799999952316284","0.8799999952316284","0.8799999952316284"
"7680000","0.7799999713897705","0.7799999713897705","0.7799999713897705"
"7800000","0.9100000262260437","0.9100000262260437","0.9100000262260437"
"7920000","0.949999988079071","0.949999988079071","0.949999988079071"
"8040000","0.9702970385551453","0.9702970385551453","0.9702970385551453"
"8160000","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"8280000","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"8400000","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"8520000","0.9603960514068604","0.9603960514068604","0.9603960514068604"
"8640000","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"8760000","0.9306930899620056","0.9306930899620056","0.9306930899620056"
"8880000","0.949999988079071","0.949999988079071","0.949999988079071"
"9000000","0.949999988079071","0.949999988079071","0.949999988079071"
"9120000","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"9240000","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"9360000","0.9399999976158142","0.9399999976158142","0.9399999976158142"
"9480000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"9600000","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"9720000","0.9200000166893005","0.9200000166893005","0.9200000166893005"
"9840000","0.949999988079071","0.949999988079071","0.949999988079071"
"9960000","0.9300000071525574","0.9300000071525574","0.9300000071525574"
"10080000","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"10200000","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"10320000","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"10440000","0.949999988079071","0.949999988079071","0.949999988079071"
"10560000","0.9300000071525574","0.9300000071525574","0.9300000071525574"
"10680000","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"10800000","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"10920000","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"11040000","0.949999988079071","0.949999988079071","0.949999988079071"
"11160000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"11280000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"11400000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"11520000","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"11640000","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"11760000","1","1","1"
"11880000","0.9509803652763367","0.9509803652763367","0.9509803652763367"
"12000000","0.8600000143051147","0.8600000143051147","0.8600000143051147"
"12120000","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"12240000","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"12360000","0.9900000095367432","0.9900000095367432","0.9900000095367432"
"12480000","0.9700000286102295","0.9700000286102295","0.9700000286102295"
"12600000","0.9800000190734863","0.9800000190734863","0.9800000190734863"
"12720000","0.9599999785423279","0.9599999785423279","0.9599999785423279"
"12840000","0.949999988079071","0.949999988079071","0.949999988079071"
"12960000","0.9599999785423279","0.9599999785423279","0.9599999785423279"
