Wall time,Step,Value
1731446972.906397,40000,0.699999988079071
1731447328.7309847,80000,0.7799999713897705
1731447678.799845,120000,0.6700000166893005
1731448022.0781505,160000,0.75
1731448371.2950747,200000,0.7900000214576721
1731448713.69515,240000,0.8199999928474426
1731449062.1370144,280000,0.7400000095367432
1731449415.1812656,320000,0.75
1731449755.284319,360000,0.7599999904632568
1731450110.9572399,400000,0.75
1731450456.5717678,440000,0.800000011920929
1731450812.986526,480000,0.8100000023841858
1731451162.1179056,520000,0.8199999928474426
1731451503.156453,560000,0.8399999737739563
1731451844.5192752,600000,0.8500000238418579
1731452189.6636147,640000,0.8199999928474426
1731452543.7052712,680000,0.7799999713897705
1731452889.5078192,720000,0.800000011920929
1731453247.1937804,760000,0.7900000214576721
1731453599.9856179,800000,0.8399999737739563
