Wall time,Step,Value
1731425993.0890899,40000,0.4399999976158142
1731426423.9950573,80000,0.3799999952316284
1731426855.373317,120000,0.46000000834465027
1731427279.9190319,160000,0.6100000143051147
1731427703.4426622,200000,0.6399999856948853
1731428114.894434,240000,0.6700000166893005
1731428542.042511,280000,0.7099999785423279
1731428957.6809213,320000,0.7699999809265137
1731429362.1032977,360000,0.8700000047683716
1731429787.975957,400000,0.7599999904632568
1731430203.1092594,440000,0.8600000143051147
1731430621.1746213,480000,0.8700000047683716
1731431038.2840612,520000,0.9200000166893005
1731431463.8245883,560000,0.8600000143051147
1731431866.3601482,600000,0.8999999761581421
1731432274.2215734,640000,0.9300000071525574
1731432692.716401,680000,0.949999988079071
1731433113.9831514,720000,0.9599999785423279
1731433543.1029503,760000,0.9100000262260437
1731433961.5765157,800000,0.9800000190734863
