Outer_iter,Outer_Success,MinDisToGoal
0,0.08,0.17190117732139065
1,0.17,0.16244922126470218
2,0.28,0.13080758113904442
3,0.49,0.09995093899498773
4,0.73,0.05635098826354883
5,0.63,0.06840457272910293
6,0.82,0.041282454305133484
7,0.78,0.04125558128280054
8,0.79,0.043383757224635
9,0.88,0.028916521162160667
10,0.84,0.03285338322925632
11,0.84,0.03058172178779265
12,0.72,0.06395960082813068
13,0.76,0.048208242176000074
14,0.9,0.021318161213160974
15,0.8,0.05050148709822135
16,0.72,0.060101885352306254
17,0.56,0.09177300795908043
18,0.82,0.04351428781929086
19,0.69,0.06941595544219481
20,0.81,0.04950283552495519
21,0.86,0.036276830699001644
22,0.92,0.021927536183287757
23,0.82,0.04081911796629451
24,0.88,0.030464816626751746
25,0.85,0.03363831560721287
26,0.82,0.042495362762744765
27,0.81,0.0410636426595485
28,0.88,0.025683005245100254
29,0.82,0.041304086040289505
30,0.84,0.03846213639285049
31,0.95,0.016412466504884694
32,0.9,0.025234641889406273
33,0.94,0.015535479129762931
34,0.94,0.014095932938826591
35,0.96,0.016132022596548806
36,0.92,0.01683193050836326
37,0.97,0.010323341716870516
38,0.97,0.010190405228919381
39,0.99,0.007359597692038485
40,0.97,0.012728139315537113
41,0.96,0.01565735186016529
42,0.95,0.011818505681131195
43,1.0,0.004171436817585438
44,0.98,0.009192618150954356
45,0.99,0.00770256875408666
46,0.97,0.009452652805948088
47,0.97,0.009324676900903335
48,0.99,0.00591344706279324
49,0.92,0.02069876047461255
50,0.87,0.028711581203543456
51,0.93,0.019064664900985514
52,0.92,0.02241396864430524
53,0.99,0.0077713013964590925
54,0.98,0.009568702058891711
55,0.98,0.010420932986219053
56,0.96,0.017213510156287685
57,0.93,0.02257804280841804
58,0.95,0.017333171404984075
59,0.99,0.007189587855053534
60,0.97,0.011153105768549785
61,0.95,0.019125114388809143
62,0.9,0.01735049693841453
63,0.96,0.016295329096251837
64,0.94,0.016010597940797597
65,0.95,0.009794676108715605
66,0.88,0.028345437127087144
67,0.95,0.012996050135482195
68,0.98,0.008799369534693102
69,0.92,0.02099957465295656
70,0.99,0.0057272909469627195
71,1.0,0.005118719324910832
72,0.98,0.00987394391967491
73,0.96,0.016007343241072586
74,0.85,0.036863182301753915
75,0.91,0.019774394028285455
76,0.88,0.02994785744811899
77,0.88,0.03581030322264371
78,0.92,0.02001050362595456
79,0.95,0.014345951108009703
80,0.93,0.019310032554861054
81,0.96,0.015466854149999057
82,0.99,0.006817290919540491
83,0.95,0.014782410793330661
84,0.98,0.010560858183808797
85,0.96,0.015127303161450112
86,0.98,0.00922101080066915
87,0.97,0.015843882686390132
88,1.0,0.0071831425683412985
89,0.98,0.010638648341310055
90,0.98,0.012151998780488641
91,0.94,0.01951995709901542
92,0.91,0.026733977931483778
93,0.94,0.018067063765026026
94,0.93,0.022836745138266674
95,0.98,0.009336228817770808
96,0.95,0.013821888550415929
97,0.97,0.0140337078772333
98,1.0,0.005429409281078624
99,0.99,0.007236041718142797
100,0.96,0.012155080348730671
101,1.0,0.00485650171315813
102,0.97,0.012949554532877139
103,0.99,0.006326015258992109
104,1.0,0.00637252534056925
105,0.98,0.010567176467736902
106,0.98,0.008477690708809946
107,0.98,0.010028488526920294
108,0.99,0.0053437677056436305
109,0.98,0.009935472109189252
110,0.95,0.015709358891027887
111,0.99,0.007042730411460834
112,0.99,0.006858402219454953
113,0.99,0.005381644436201637
114,0.98,0.008653642712759065
115,1.0,0.00505254782201739
116,1.0,0.00480001885840015
117,0.95,0.011420054472839973
118,1.0,0.005264346879858566
119,0.99,0.006526047053204001
120,1.0,0.00454627339770919
121,0.98,0.007902941249632927
122,0.99,0.007706962965536635
123,1.0,0.00476626841114866
124,0.99,0.007614681339055537
125,0.99,0.007318565289301618
126,0.97,0.011483169484974336
127,1.0,0.004665570542324533
128,0.97,0.011424397657101364
129,0.98,0.010205614026486409
130,1.0,0.004052271409306584
131,1.0,0.00421723808794275
132,0.99,0.00850019623713589
133,0.99,0.0052766311714019035
134,1.0,0.004579196665718555
135,1.0,0.004006638506390332
136,0.98,0.007881048935578784
137,0.98,0.00977091235967617
138,0.98,0.006335691425544066
139,0.98,0.007378082545271153
140,0.96,0.011161478562567788
141,0.99,0.0063010775671308175
142,0.98,0.009619772726299734
143,0.96,0.010533651822259332
144,0.97,0.009853174848756405
145,0.98,0.008614935051447392
146,0.97,0.011712416447062446
147,1.0,0.007825135779250226
148,0.98,0.007103646120099858
149,1.0,0.0038774888627749393
150,0.98,0.009468994356226855
151,0.99,0.006921892507423045
152,0.98,0.007649246945715335
