Outer_iter,Outer_Success,MinDisToGoal
0,0.06,0.2249449274514242
1,0.09,0.201744286954885
2,0.08,0.2383421583034613
3,0.14,0.185023925304585
4,0.21,0.19502230241055735
5,0.1,0.20292411693185172
6,0.08,0.20159899504222245
7,0.18,0.1616127038520229
8,0.23,0.17251113731439335
9,0.22,0.1701999865379903
10,0.4,0.15246868852732845
11,0.43,0.11549809505509517
12,0.49,0.1478304831086175
13,0.48,0.1383415682285507
14,0.56,0.12086917118905996
15,0.48,0.13569172253998277
16,0.6,0.11501924328578272
17,0.46,0.1262690231258556
18,0.54,0.12489204177559593
19,0.59,0.0944689503116788
20,0.49,0.12523383932200527
21,0.6,0.09530939164439994
22,0.61,0.09403036525836983
23,0.55,0.10617447561698938
24,0.5,0.11487682497955154
25,0.45,0.14303987364822723
26,0.64,0.09720746430723048
27,0.59,0.10216396706354207
28,0.64,0.08959039159402886
29,0.73,0.062424086994259075
30,0.62,0.08988582712764724
31,0.71,0.08376719193569616
32,0.69,0.07315649229530292
33,0.68,0.08090041366679745
34,0.72,0.06339166929984687
35,0.74,0.0659727027363567
36,0.69,0.06390256564445826
37,0.62,0.08199101758811372
38,0.74,0.058299739644788434
39,0.66,0.06349628494314191
40,0.8,0.06302872454030896
41,0.75,0.06515911568729076
42,0.8,0.04594679874811157
43,0.81,0.04101500238805106
44,0.86,0.038313326733899505
45,0.8,0.046790266112560895
46,0.72,0.057391981270530155
47,0.79,0.05156406892151174
48,0.86,0.0402316097332163
49,0.82,0.04074919554107713
50,0.83,0.03919512661908217
51,0.79,0.05273071299292814
52,0.84,0.03579133817688867
53,0.8,0.04550087355351339
54,0.79,0.05764698842474915
55,0.83,0.0384897168514521
56,0.82,0.032710509014224495
57,0.84,0.03552130726672781
58,0.87,0.028540251158830254
59,0.88,0.04219850397926352
60,0.84,0.045157259871550615
61,0.86,0.046770598261748786
62,0.88,0.035358474646274535
63,0.8,0.04026138814690046
64,0.78,0.05130401269186611
65,0.87,0.026987500060184914
66,0.84,0.033551147653261094
67,0.83,0.030444754876592473
68,0.83,0.04629418176294184
69,0.86,0.03245999288150624
70,0.91,0.028934467798108123
71,0.87,0.03914644008906246
72,0.88,0.02755667778990843
73,0.88,0.031077359895298886
74,0.79,0.03213851244303487
75,0.87,0.0379465793980903
76,0.91,0.027390784850692608
77,0.85,0.03161246402144998
78,0.83,0.042707993512212175
79,0.88,0.022833253689921205
80,0.88,0.02904237208109047
81,0.82,0.028803317811470913
82,0.86,0.030062758674390466
83,0.91,0.024345029025292484
84,0.93,0.022721514915718312
85,0.84,0.030508766823134616
86,0.86,0.02979504296420121
87,0.86,0.033224697331038965
88,0.82,0.0388466356287386
89,0.79,0.03915802778286749
90,0.88,0.026328770728940104
91,0.78,0.03890721803244376
92,0.82,0.033787042528512244
93,0.84,0.03292230359203368
94,0.85,0.03385874123039813
95,0.85,0.03686870089843845
96,0.89,0.02493995680406191
97,0.88,0.031294872917396195
98,0.83,0.03756164758299788
99,0.86,0.030065310339958354
100,0.88,0.024404468645075048
101,0.92,0.02117219142789809
102,0.83,0.02280246068682223
103,0.94,0.01963865906703963
104,0.91,0.01884857255904091
105,0.86,0.027137452183265607
106,0.98,0.012647954174405458
107,0.92,0.016842267713121875
108,0.95,0.01680236183017872
109,0.95,0.01695240030453824
110,0.92,0.019458055530874943
111,0.97,0.017575650619573103
112,0.92,0.026230974259878848
113,0.95,0.01277546103412454
114,0.94,0.01743479503927658
115,0.94,0.016379506938454275
116,0.96,0.014361064942233832
117,0.95,0.014972294122508367
118,0.97,0.019698255698702326
119,0.97,0.019060437670817908
120,0.95,0.023484715401070638
121,0.96,0.01666905224144554
122,0.95,0.02430371807043769
123,0.95,0.01990899865021446
124,0.92,0.02673044324401872
125,0.92,0.026417865044820344
126,0.98,0.014857465430492801
